,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
615,52,-4,82,0,52,-2,29,30,0,0
616,43,-1,81,3,44,28,38,37,0,0
617,49,0,84,0,46,-23,35,37,2,0
618,37,0,81,0,28,-6,45,53,8,0
619,42,0,86,5,42,0,44,44,0,0
620,42,-2,87,0,42,0,45,46,0,0
621,45,0,79,0,46,28,34,33,0,0
622,37,0,90,0,30,18,53,59,6,0
623,45,0,83,0,46,21,38,37,0,0
624,44,0,80,0,42,-19,36,39,2,0
625,47,-1,85,4,46,0,38,39,0,0
626,44,0,76,0,42,-22,32,34,2,0
627,37,0,82,-3,-2,0,45,85,40,0
628,37,-2,106,0,30,-190,69,75,6,0
629,37,0,79,0,2,-1,43,77,34,0
630,45,-4,79,0,44,-10,33,35,2,0
631,44,0,86,1,42,-23,43,45,2,0
632,37,0,94,0,10,-5,57,84,26,0
633,48,0,81,0,46,-9,32,34,2,0
634,46,0,92,7,46,0,45,45,0,0
635,51,0,88,3,52,4,36,36,0,0
636,37,5,90,-7,6,0,53,85,32,0
637,49,0,83,-2,50,39,34,34,0,0
638,49,0,88,0,50,12,40,39,0,0
639,37,0,81,3,38,18,44,43,0,0
640,37,0,106,1,26,24,68,80,12,0
641,51,0,87,0,52,29,36,35,0,0
642,37,0,83,0,34,2,46,50,4,0
643,37,0,78,0,18,10,42,60,18,0
644,46,0,80,0,44,-26,34,36,2,0
645,46,-1,88,-6,46,-5,41,41,0,0
646,37,0,81,-6,-4,0,44,86,42,0
647,49,-4,111,0,50,2,62,62,0,0
648,37,0,77,-5,12,0,41,65,24,0
649,42,0,77,7,42,0,35,36,0,0
650,37,0,104,-4,20,0,67,83,16,0
651,54,0,83,3,54,0,29,29,0,0
652,46,0,88,1,46,10,42,41,0,0
653,43,0,85,0,42,-10,42,44,2,0
654,39,0,108,0,38,0,68,69,0,0
655,37,0,76,-1,20,-4,40,55,16,0
656,51,0,88,-3,50,-13,37,39,2,0
657,53,0,88,0,52,-13,35,36,2,0
658,41,0,76,0,42,11,35,34,0,0
659,37,0,77,0,16,-1,41,62,22,0
660,45,0,83,-1,44,-1,38,39,0,0
661,48,-1,81,0,46,-11,33,35,2,0
662,45,1,86,0,44,-6,41,42,2,0
663,37,0,103,-1,24,-3,66,80,14,0
664,44,0,86,0,44,22,42,42,0,0
665,56,0,97,0,54,3,41,43,2,0
666,48,-4,83,0,46,0,35,36,2,0
667,44,0,76,-5,44,0,31,32,0,0
668,44,0,109,0,42,-30,66,68,2,0
669,43,0,85,-6,42,0,42,44,2,0
670,57,-4,86,0,56,0,29,29,0,0
671,39,1,81,0,38,0,43,43,0,0
672,45,0,87,-1,44,-1,42,43,2,0
673,37,0,78,0,-6,-22,42,86,44,0
674,37,-1,81,0,36,0,44,45,0,0
675,37,-3,106,-6,30,-8,69,75,6,0
676,37,0,80,-7,34,-4,43,46,2,0
677,53,0,84,0,54,2,32,30,0,0
678,51,0,83,4,50,-2,32,33,2,0
679,51,5,82,0,50,0,31,33,2,0
680,53,0,85,-3,54,0,32,31,0,0
681,37,0,79,0,24,-6,42,55,14,0
682,42,0,82,2,42,0,39,41,2,0
683,49,2,106,0,46,-10,58,60,2,0
684,53,-1,79,0,52,-5,26,27,2,0
685,52,1,91,0,52,0,39,39,0,0
686,43,4,81,0,42,0,38,39,2,0
687,41,0,76,0,38,-5,35,37,2,0
688,45,3,84,0,44,0,38,40,2,0
689,43,0,77,7,42,-7,34,35,2,0
690,49,0,95,0,46,-24,47,49,2,0
691,44,0,80,-4,44,1,36,36,0,0
692,37,0,77,0,34,19,40,44,4,0
693,49,0,79,1,50,7,30,30,0,0
694,64,0,111,3,64,23,46,46,0,0
695,48,4,90,0,46,0,42,43,2,0
696,42,2,78,-1,42,0,36,37,2,0
697,56,0,81,0,56,15,25,24,0,0
698,38,3,77,0,38,5,39,38,0,0
699,46,4,81,0,46,6,35,34,0,0
700,53,1,86,0,52,-16,33,34,2,0
701,43,0,81,5,42,0,38,40,2,0
702,37,0,78,0,16,5,41,63,22,0
703,45,0,81,0,44,-20,35,37,2,0
704,38,1,102,-5,34,0,65,69,4,0
705,39,-4,86,0,38,0,46,47,0,0
706,53,0,86,0,52,-16,33,34,2,0
707,37,0,93,0,10,-6,56,83,28,0
708,37,0,84,0,26,-1,47,58,10,0
709,49,0,85,0,50,19,36,36,0,0
710,45,-2,77,0,44,-20,32,34,2,0
711,40,-2,106,0,38,0,66,67,2,0
712,49,0,83,0,50,1,34,33,0,0
713,47,0,87,-7,46,0,40,41,0,0
714,37,0,91,-2,6,0,54,86,32,0
715,37,-1,102,0,36,6,65,66,2,0
716,38,2,79,0,38,20,41,40,0,0
717,56,0,97,2,54,0,41,43,2,0
718,38,-4,86,0,38,0,48,48,0,0
719,41,-3,79,0,42,0,38,38,0,0
720,46,-2,83,0,46,0,36,36,0,0
721,41,0,87,3,42,27,46,46,0,0
722,37,0,105,3,18,0,68,87,18,0
723,44,2,81,0,44,1,37,37,0,0
724,41,0,97,0,42,29,56,55,0,0
725,48,-1,84,0,46,-3,36,38,2,0
726,37,3,76,6,34,0,39,43,4,0
727,44,0,76,0,44,2,32,32,0,0
728,43,1,79,0,42,0,37,38,2,0
729,46,3,79,0,46,16,33,32,0,0
730,46,0,88,-4,46,16,43,42,0,0
731,45,0,81,-3,44,0,36,37,2,0
732,53,0,87,3,52,-5,34,35,2,0
733,37,0,93,0,10,-9,56,83,28,0
734,37,0,76,0,34,10,39,42,2,0
735,49,-3,107,0,46,-30,58,60,2,0
736,45,4,108,0,44,0,63,64,2,0
737,37,0,106,0,26,1,68,80,12,0
738,48,1,83,-1,46,0,34,36,2,0
739,41,0,79,-1,38,-5,39,41,2,0
740,43,0,108,-5,42,-16,64,66,2,0
741,44,0,87,0,44,1,43,43,0,0
742,47,0,88,6,46,0,42,42,0,0
743,50,-2,84,0,50,0,34,35,0,0
744,37,0,76,-4,36,0,39,40,0,0
745,37,5,75,0,36,0,38,39,0,0
746,55,0,77,-1,54,0,22,23,0,0
747,52,4,86,0,52,0,34,34,0,0
748,41,0,79,0,38,-17,38,40,2,0
749,39,0,77,3,38,0,38,39,0,0
750,45,0,79,0,44,-27,33,35,2,0
751,47,-1,84,0,46,0,37,38,0,0
752,43,-1,77,0,42,-15,34,35,2,0
753,43,0,83,2,44,22,40,39,0,0
754,45,-1,86,0,44,-8,41,42,2,0
755,43,-4,77,1,42,-20,34,36,2,0
756,46,-4,81,0,46,0,34,34,0,0
757,37,0,76,0,30,-5,39,45,6,0
758,51,0,84,0,52,24,34,33,0,0
759,43,0,87,0,42,-9,44,46,2,0
760,37,0,77,0,2,3,40,74,34,0
761,37,0,78,0,16,26,41,63,22,0
762,45,0,80,0,44,-13,35,36,2,0
763,41,-5,78,0,42,3,37,37,0,0
764,51,-4,88,0,52,0,36,36,0,0
765,49,0,107,0,50,19,58,58,0,0
766,37,0,105,0,24,7,68,82,14,0
767,42,-1,83,0,42,0,42,42,0,0
768,37,3,75,0,18,-6,38,57,18,0
769,37,0,80,0,12,5,43,67,24,0
770,44,-2,108,0,44,0,63,64,0,0
771,51,0,84,0,52,2,33,32,0,0
772,47,-908,86,-1,46,0,39,39,0,0
773,42,-2,83,0,42,0,42,42,0,0
774,41,1,80,0,38,0,39,41,2,0
775,51,2,83,-1,50,-1,32,33,2,0
776,44,2,86,0,44,5,42,42,0,0
777,37,0,93,0,16,21,55,77,22,0
778,41,0,78,0,42,17,37,37,0,0
779,41,0,76,-5,38,0,35,37,2,0
780,40,-4,81,0,38,0,41,43,2,0
781,38,1,109,-3,38,0,71,71,0,0
782,42,0,86,3,42,0,44,44,0,0
783,58,-1,79,0,56,0,21,22,0,0
784,37,5,76,0,36,2,39,40,0,0
785,44,3,93,0,44,10,50,50,0,0
786,53,0,102,0,54,6,49,48,0,0
787,53,0,88,5,52,-20,35,36,2,0
788,37,0,80,-5,36,0,43,44,0,0
789,44,1,81,0,44,5,38,37,0,0
790,43,-1,83,-3,42,-6,40,42,2,0
791,37,0,107,0,36,0,69,71,2,0
792,37,0,77,-1,-18,-4,40,95,54,0
793,55,-1,93,0,54,0,38,39,0,0
794,46,2,80,0,46,2,34,34,0,0
795,67,4,112,0,68,2,45,45,0,0
796,51,-2,77,0,52,0,26,25,0,0
797,37,0,76,0,36,-13,39,40,2,0
798,48,-2,87,0,46,-8,39,41,2,0
799,53,-2,80,-2,54,-3,27,26,0,0
800,44,2,108,-1,44,7,64,64,0,0
801,41,0,81,5,38,0,40,42,2,0
802,52,1,87,-6,52,0,35,35,0,0
803,37,0,76,0,36,2,38,39,2,0
804,48,4,81,1,46,0,32,34,2,0
805,46,0,88,2,46,0,41,41,0,0
806,43,-3,86,-1,44,8,42,42,0,0
807,37,0,76,1,26,-12,40,50,10,0
808,49,2,95,0,46,-12,47,49,2,0
809,53,2,79,0,54,3,25,24,0,0
810,37,0,81,0,34,17,45,48,2,0
811,37,0,104,-1,28,1,67,76,8,0
812,56,-1,92,0,56,0,36,35,0,0
813,45,0,76,0,46,8,30,29,0,0
814,44,0,84,0,44,8,40,40,0,0
815,47,1,77,-7,46,0,30,31,0,0
816,45,0,82,-5,44,0,37,38,0,0
817,38,0,81,0,36,-24,43,44,2,0
818,49,3,82,0,50,25,33,33,0,0
819,53,-1,87,0,52,-21,34,35,2,0
820,37,0,76,0,24,-2,39,53,14,0
821,56,0,86,0,56,12,31,30,0,0
822,41,0,86,-5,38,-7,46,48,2,0
823,42,4,83,-5,42,0,41,41,0,0
824,52,-1,88,0,52,-6,35,36,0,0
825,56,0,79,0,54,-7,23,24,2,0
826,53,3,81,0,54,24,28,26,0,0
827,45,0,78,-5,44,-21,33,34,2,0
828,41,-5,77,8,38,-20,36,38,2,0
829,45,0,76,0,44,-23,31,32,2,0
830,37,0,75,0,26,16,38,49,12,0
831,37,0,79,0,2,19,42,76,34,0
832,48,-1,76,-1,46,-1,28,30,2,0
833,56,0,96,0,54,-1,40,42,2,0
834,37,-2,77,1,0,4,40,77,36,0
835,37,0,77,0,38,31,39,38,0,0
836,37,0,86,6,36,0,50,50,0,0
837,53,0,83,5,54,4,30,29,0,0
838,47,0,81,2,46,0,33,34,0,0
839,51,1,81,0,50,-4,30,32,2,0
840,37,0,77,0,26,18,40,51,12,0
841,49,0,87,0,50,0,38,38,0,0
842,41,0,79,6,42,8,38,38,0,0
843,47,-2,83,0,46,0,36,37,0,0
844,44,0,84,0,42,-16,40,43,2,0
845,37,0,78,0,24,29,41,55,14,0
846,53,0,87,0,52,-6,34,35,2,0
847,56,1,86,3,56,4,31,30,0,0
848,37,-1,76,0,20,-1,39,55,16,0
849,37,-1,77,-5,8,-14,41,70,28,0
850,47,0,87,-5,46,0,40,41,0,0
851,46,0,77,0,44,-19,32,34,2,0
852,49,-5,89,0,46,-30,40,42,2,0
853,37,0,82,0,36,22,45,46,2,0
854,52,-3,81,0,52,-2,29,30,0,0
855,56,0,89,0,56,3,33,32,0,0
856,49,0,111,0,50,0,62,62,0,0
857,42,-1,90,0,42,0,47,48,2,0
858,43,0,81,4,44,28,37,37,0,0
859,37,0,77,0,24,-14,40,54,14,0
860,37,0,95,-5,16,5,58,79,22,0
861,37,0,79,0,6,16,42,74,32,0
862,47,5,84,0,46,0,38,38,0,0
863,37,5,76,0,36,1,39,39,0,0
864,37,0,84,2,24,-14,47,61,14,0
865,43,0,79,0,44,24,35,35,0,0
866,43,0,76,0,42,-14,33,35,2,0
867,56,2,91,0,56,16,35,34,0,0
868,46,0,77,6,46,2,32,31,0,0
869,54,-3,83,-1,54,0,28,28,0,0
870,37,0,91,0,18,7,53,73,20,0
871,37,0,77,0,8,13,40,70,30,0
872,41,0,83,8,42,5,42,42,0,0
873,37,0,107,0,28,12,69,78,8,0
874,45,0,86,6,44,-1,41,42,2,0
875,54,-1,81,-5,54,-7,27,27,0,0
876,46,-4,79,0,46,0,33,32,0,0
877,42,-3,79,0,42,0,37,38,2,0
878,37,0,98,0,28,-4,61,70,8,0
879,38,0,102,0,34,-8,65,69,4,0
880,47,0,78,-7,46,0,31,32,0,0
881,55,1,88,1,54,0,32,33,2,0
882,40,0,89,0,38,0,49,50,2,0
883,53,3,81,0,52,-4,28,30,2,0
884,37,0,79,0,10,-21,42,68,26,0
885,44,-1,85,1,44,0,41,41,0,0
886,37,0,97,0,30,-3,60,66,6,0
887,37,0,76,0,28,16,39,47,8,0
888,47,0,86,2,46,0,38,39,0,0
889,42,0,77,-1,42,0,35,36,0,0
890,37,0,77,0,26,-13,40,51,10,0
891,45,0,93,0,44,-8,48,50,2,0
892,44,0,77,-1,44,2,33,33,0,0
893,38,0,79,0,38,5,42,41,0,0
894,47,0,88,4,46,0,41,41,0,0
895,37,2,77,0,-22,1,41,101,60,0
896,37,0,77,0,8,17,40,69,28,0
897,45,0,87,6,46,15,42,41,0,0
898,37,1,82,0,36,0,45,46,0,0
899,37,0,79,0,2,20,42,76,34,0
900,44,1,79,-1,44,0,35,35,0,0
901,42,3,79,8,42,0,37,38,0,0
902,45,0,86,-4,46,19,41,40,0,0
903,53,0,88,0,52,-27,35,37,2,0
904,44,-2,86,3,44,0,42,42,0,0
905,39,0,86,5,38,0,47,48,0,0
906,43,-4,85,0,42,-19,42,44,2,0
907,56,1,80,0,56,14,24,23,0,0
908,38,0,106,0,38,0,68,67,0,0
909,48,0,88,3,50,31,40,39,0,0
910,49,5,80,0,50,5,31,31,0,0
911,37,0,95,0,18,24,58,77,18,0
912,41,0,81,0,38,-19,41,43,2,0
913,49,-5,86,0,50,6,38,37,0,0
914,37,0,76,0,36,-5,38,39,2,0
915,51,1,102,0,50,0,51,53,2,0
916,47,2,90,8,46,0,43,44,0,0
917,43,0,81,2,42,-5,38,40,2,0
918,45,0,81,0,44,-23,35,37,2,0
919,45,0,86,-1,44,-13,41,42,2,0
920,38,0,77,0,38,9,39,38,0,0
921,41,-2,108,0,38,-13,67,69,2,0
922,46,0,84,-2,46,-3,38,37,0,0
923,45,0,79,0,44,-23,33,35,2,0
924,38,3,77,0,38,0,39,38,0,0
925,57,3,88,0,56,0,31,31,0,0
926,37,0,76,-1,28,-4,39,47,8,0
927,45,-2,81,0,46,11,35,34,0,0
928,38,-1,91,-2,6,-7,53,86,32,0
929,40,-2,86,0,38,0,46,47,2,0
930,45,0,85,0,46,21,40,39,0,0
931,55,0,83,3,54,0,28,29,0,0
932,37,0,93,0,16,7,55,77,22,0
933,46,-4,78,-1,46,0,32,32,0,0
934,41,1,86,0,38,-7,46,48,2,0
935,46,-4,86,0,46,0,41,40,0,0
936,46,0,85,-2,46,7,39,39,0,0
937,61,0,111,0,60,-8,50,52,2,0
938,52,0,78,-1,52,0,26,26,0,0
939,44,0,87,0,44,22,43,43,0,0
940,37,0,95,0,16,0,58,79,22,0
941,37,0,103,0,30,-6,66,72,6,0
942,37,0,77,3,28,0,41,49,8,0
943,37,0,79,0,10,-10,42,68,26,0
944,37,0,108,2,34,-30,71,75,4,0
945,43,0,83,0,42,-14,39,41,2,0
946,37,-4,80,0,34,1,43,46,4,0
947,37,0,77,0,20,19,41,57,16,0
948,37,-2,77,3,38,11,40,39,0,0
949,37,0,77,2,12,0,40,64,24,0
950,45,0,78,-4,46,20,33,32,0,0
951,37,0,97,-6,26,-5,60,71,12,0
952,37,0,106,14,28,0,69,78,8,0
953,37,0,77,0,0,-5,40,77,36,0
954,45,1,76,2,44,0,31,32,2,0
955,37,0,95,0,10,23,58,84,26,0
956,37,0,79,0,30,11,43,48,6,0
957,37,0,104,0,20,-22,67,84,16,0
958,56,3,86,0,56,14,31,30,0,0
959,41,0,76,0,38,-20,35,37,2,0
960,37,0,77,0,28,6,40,48,8,0
961,37,0,109,1,26,0,71,83,12,0
962,45,0,86,8,44,-2,41,42,2,0
963,41,2,78,0,42,23,37,37,0,0
964,37,0,84,0,30,10,47,53,6,0
965,48,0,88,1,46,0,39,41,2,0
966,42,0,81,0,42,315,39,40,0,0
967,38,0,107,3,38,0,69,68,0,0
968,46,0,79,2,46,8,34,33,0,0
969,47,1,86,-2,46,0,39,39,0,0
970,44,0,75,-7,44,2,31,31,0,0
971,37,0,77,3,36,3,41,41,0,0
972,37,0,106,0,26,-30,69,80,12,0
973,55,0,83,-1,54,0,28,28,0,0
974,39,1,97,0,38,0,58,58,0,0
975,45,2,87,6,44,0,42,43,2,0
976,49,0,80,0,50,28,31,31,0,0
977,45,0,80,0,46,20,35,34,0,0
978,43,-1,76,0,44,25,32,32,0,0
979,42,4,108,0,42,0,66,67,2,0
980,56,2,82,0,54,-12,26,28,2,0
981,37,0,76,0,26,13,40,50,10,0
982,37,0,103,0,18,-7,66,85,20,0
983,49,-1,106,0,50,0,57,57,0,0
984,50,5,85,0,50,0,35,36,0,0
985,37,0,80,0,20,-5,43,59,16,0
986,50,4,81,-4,50,0,31,32,0,0
987,37,-5,97,0,34,3,61,64,2,0
988,42,-2,97,1,42,0,56,56,0,0
989,43,0,87,8,42,-9,44,46,2,0
990,37,0,77,-7,26,-1,40,51,10,0
991,63,2,111,5,62,0,48,49,2,0
992,49,0,82,0,50,27,33,33,0,0
993,47,5,78,-2,46,0,31,32,0,0
994,37,0,90,0,20,5,53,70,16,0
995,37,0,77,-1,34,-3,40,43,4,0
996,40,-2,80,2,38,0,40,41,2,0
997,37,0,76,3,36,0,40,40,0,0
998,37,0,81,-4,36,0,44,44,0,0
999,37,0,103,0,30,16,66,72,6,0
1000,47,0,89,-7,46,0,42,42,0,0
1001,37,0,80,0,12,2,43,67,24,0
1002,37,0,78,0,16,-19,42,63,22,0
1003,38,0,79,0,38,8,41,40,0,0
1004,37,0,76,0,26,-2,40,50,10,0
1005,53,5,81,0,54,4,28,27,0,0
1006,56,-5,85,1,56,0,29,28,0,0
1007,46,0,83,-7,46,0,37,37,0,0
1008,41,0,79,-4,42,7,38,37,0,0
1009,40,-5,80,6,38,0,40,41,2,0
1010,37,0,76,1,34,2,40,43,2,0
1011,46,-3,108,0,46,0,62,62,0,0
1012,37,0,77,6,34,-16,40,43,2,0
1013,40,-2,108,0,38,0,68,69,2,0
1014,46,0,85,0,46,14,39,39,0,0
1015,51,0,81,0,52,3,29,29,0,0
1016,45,0,77,0,46,21,31,30,0,0
1017,37,0,77,0,24,9,40,54,14,0
1018,51,0,82,3,52,16,31,30,0,0
1019,46,0,90,0,46,1,44,44,0,0
1020,37,0,82,0,18,7,45,64,18,0
1021,39,1,93,-3,38,0,54,55,0,0
1022,44,2,79,0,42,-18,35,37,2,0
1023,50,-2,80,0,50,0,30,31,2,0
1024,37,-5,79,0,-6,0,42,86,44,0
1025,42,2,90,0,42,0,48,49,2,0
1026,42,0,81,0,42,102,39,40,0,0
1027,46,0,77,0,44,-22,32,34,2,0
1028,56,-4,86,0,56,5,30,29,0,0
1029,37,0,79,1,-2,0,42,82,40,0
1030,41,5,85,0,38,0,44,46,2,0
1031,37,0,78,-4,24,0,42,55,14,0
1032,44,0,75,-6,42,-21,31,34,2,0
1033,41,0,78,-1,42,-1,37,37,0,0
1034,36,0,83,2,36,0,46,46,0,0
1035,38,0,90,0,8,2,52,82,30,0
1036,44,0,76,0,44,0,31,32,0,0
1037,37,-2,78,0,-2,0,41,81,40,0
1038,49,0,82,0,50,7,33,33,0,0
1039,46,-1,77,-3,46,-5,31,30,0,0
1040,37,0,98,0,30,6,61,67,6,0
1041,37,0,79,-2,8,0,43,72,28,0
1042,41,-5,76,0,38,-15,35,37,2,0
1043,49,5,90,0,50,2,41,41,0,0
1044,37,0,79,-2,8,19,43,72,28,0
1045,37,0,81,0,38,21,44,43,0,0
1046,37,0,77,3,36,24,41,41,0,0
1047,57,1,84,-6,56,0,28,28,0,0
1048,38,1,79,0,38,15,42,41,0,0
1049,43,0,85,-2,44,22,42,41,0,0
1050,45,-5,90,0,44,-1,45,46,2,0
1051,40,4,77,0,38,0,38,39,2,0
1052,37,0,80,0,12,3,43,67,24,0
1053,41,0,81,3,42,4,39,39,0,0
1054,44,0,86,2,42,-18,43,45,2,0
1055,50,-5,86,0,50,0,37,37,0,0
1056,37,0,96,0,16,-17,59,81,22,0
1057,38,0,105,-3,38,0,67,66,0,0
1058,51,0,86,0,52,13,35,34,0,0
1059,41,0,84,0,42,18,44,43,0,0
1060,49,0,106,-5,50,19,58,57,0,0
1061,57,-3,86,-1,56,0,29,29,0,0
1062,41,0,89,0,38,-11,48,50,2,0
1063,37,1,106,-5,28,0,68,77,8,0
1064,36,-3,77,0,36,0,41,41,0,0
1065,53,1,81,0,52,-28,28,30,2,0
1066,45,1,76,0,44,0,31,32,2,0
1067,45,5,88,0,44,0,43,44,0,0
1068,43,2,76,0,42,-1,33,35,2,0
1069,37,-5,77,0,36,-22,40,41,2,0
1070,55,1,93,5,54,0,38,39,2,0
1071,54,-3,80,0,54,0,26,26,0,0
1072,41,-1,97,-5,38,-10,56,58,2,0
1073,46,2,106,0,46,4,60,60,0,0
1074,37,0,76,0,26,-15,39,50,10,0
1075,45,-1,81,-3,46,17,36,35,0,0
1076,44,-2,85,0,44,0,41,41,0,0
1077,52,0,82,4,50,-30,30,33,2,0
1078,51,0,82,0,50,-2,31,33,2,0
1079,37,0,77,0,28,25,41,49,8,0
1080,59,0,86,-1,60,21,28,27,0,0
1081,53,3,103,1,52,-3,50,51,2,0
1082,62,0,110,2,62,0,48,48,0,0
1083,57,0,92,2,56,0,34,35,0,0
1084,37,0,78,0,8,17,41,70,30,0
1085,44,5,77,8,44,2,33,34,0,0
1086,40,0,86,-4,38,0,45,47,2,0
1087,52,-2,87,3,52,0,35,35,0,0
1088,41,0,82,-6,38,-2,41,43,2,0
1089,44,2,86,0,44,2,42,42,0,0
1090,64,0,111,4,62,-12,46,49,2,0
1091,45,1,81,0,44,0,36,37,0,0
1092,56,-3,92,0,56,0,36,35,0,0
1093,41,0,82,0,38,-18,41,43,2,0
1094,37,0,79,0,0,2,42,79,36,0
1095,37,0,77,2,28,0,41,49,8,0
1096,57,2,92,0,56,0,35,35,0,0
1097,46,1,76,-1,46,0,30,30,0,0
1098,37,0,90,2,26,0,53,64,12,0
1099,39,-3,77,-1,38,-2,37,38,0,0
1100,37,0,76,0,18,-11,40,58,18,0
1101,41,1,86,0,42,9,45,44,0,0
1102,37,0,77,2,-18,0,41,96,54,0
1103,46,0,79,1,46,0,33,33,0,0
1104,45,-1,77,0,46,8,32,31,0,0
1105,51,-4,81,0,52,15,30,30,0,0
1106,37,1,81,8,24,0,43,57,14,0
1107,37,0,83,3,-2,0,46,85,40,0
1108,37,0,83,0,2,-16,46,81,34,0
1109,42,0,102,0,42,0,60,60,0,0
1110,41,-1,78,0,42,4,37,37,0,0
1111,37,0,77,-4,28,-20,40,48,8,0
1112,37,-1,83,-3,26,-37,46,57,12,0
1113,45,2,76,1,44,0,31,32,2,0
1114,38,-5,110,0,38,0,72,71,0,0
1115,56,0,79,0,56,4,22,22,0,0
1116,37,-3,76,0,38,6,38,37,0,0
1117,37,0,78,0,24,-26,41,55,14,0
1118,43,1,75,-3,42,0,32,34,2,0
1119,47,-2,77,-7,46,0,31,31,0,0
1120,46,2,84,0,46,18,38,37,0,0
1121,37,1,75,0,18,-7,38,57,18,0
1122,37,0,86,0,36,-3,48,50,2,0
1123,37,0,75,0,30,27,38,44,6,0
1124,49,-1,81,0,46,-20,33,35,2,0
1125,45,-1,93,0,46,13,48,47,0,0
1126,41,0,77,0,38,-22,36,39,2,0
1127,37,0,105,0,34,11,68,71,4,0
1128,37,0,98,0,28,-6,61,70,8,0
1129,37,-4,99,0,28,0,62,71,8,0
1130,53,0,83,8,54,12,30,29,0,0
1131,42,3,96,0,42,0,54,55,2,0
1132,41,-1,86,0,42,18,46,45,0,0
1133,42,0,78,0,42,0,36,37,0,0
1134,37,0,94,0,8,-7,57,86,30,0
1135,41,3,78,0,38,-10,37,39,2,0
1136,37,0,79,0,36,-9,41,43,2,0
1137,37,0,81,0,28,-7,45,53,8,0
1138,47,1,79,0,46,0,32,33,0,0
1139,37,0,97,1,30,0,60,66,6,0
1140,44,0,88,0,44,12,44,44,0,0
1141,48,-3,100,0,46,-1,52,54,2,0
1142,45,0,81,0,46,4,36,35,0,0
1143,51,0,102,0,52,12,51,50,0,0
1144,44,1,80,0,44,17,36,36,0,0
1145,37,0,83,-1,10,0,46,72,26,0
1146,49,2,84,0,50,10,35,35,0,0
1147,37,0,104,0,34,5,67,71,4,0
1148,45,0,106,-4,44,0,61,62,2,0
1149,37,0,78,0,12,-14,41,65,24,0
1150,44,2,83,0,44,0,39,39,0,0
1151,49,0,81,0,50,14,33,32,0,0
1152,37,0,104,0,20,-14,67,84,16,0
1153,45,0,82,4,44,-17,37,38,2,0
1154,37,0,78,0,16,24,41,63,22,0
1155,41,0,89,0,42,20,48,48,0,0
1156,52,0,86,-4,52,0,33,34,0,0
1157,40,0,86,0,42,31,46,45,0,0
1158,45,0,84,1,44,0,39,40,2,0
1159,37,0,79,0,18,-26,43,61,18,0
1160,49,3,87,0,46,-6,38,41,2,0
1161,37,0,79,0,34,6,43,46,2,0
1162,37,0,78,-7,-6,0,41,86,44,0
1163,45,2,93,-3,44,0,48,49,0,0
1164,42,-4,108,0,42,0,66,66,0,0
1165,56,0,86,4,54,-24,31,32,2,0
1166,44,0,81,-2,44,9,37,37,0,0
1167,37,0,81,0,28,13,44,52,8,0
1168,44,0,83,0,44,17,39,39,0,0
1169,37,-3,81,0,36,-2,44,44,0,0
1170,37,0,97,0,28,-16,60,69,8,0
1171,43,-3,79,0,42,-16,35,37,2,0
1172,37,4,78,-1,16,0,41,63,22,0
1173,46,0,89,-1,46,4,43,42,0,0
1174,56,0,87,0,56,17,31,30,0,0
1175,38,1,76,0,38,7,38,37,0,0
1176,43,0,81,0,44,26,38,37,0,0
1177,37,0,77,4,-10,0,41,88,46,0
1178,37,0,93,5,28,2,56,65,8,0
1179,53,1,78,0,52,-2,25,26,2,0
1180,45,0,83,0,46,10,37,36,0,0
1181,46,3,84,-5,46,8,39,38,0,0
1182,44,0,78,0,44,4,34,34,0,0
1183,37,-1,106,0,34,1,69,72,4,0
1184,37,0,77,-5,16,0,40,62,22,0
1185,53,0,83,0,52,-21,30,32,2,0
1186,37,0,77,-2,34,-898,41,44,2,0
1187,45,3,86,1,44,0,42,42,0,0
1188,45,2,80,5,44,0,35,36,0,0
1189,43,0,83,1,44,25,40,39,0,0
1190,37,0,94,0,8,-9,57,86,30,0
1191,45,1,76,-3,44,0,31,32,0,0
1192,43,0,77,0,42,-14,34,35,2,0
1193,37,0,76,-2,26,0,39,50,12,0
1194,46,0,86,3,46,1,40,39,0,0
1195,37,0,79,4,10,-10,42,69,26,0
1196,49,-1,79,0,46,-11,31,33,2,0
1197,37,0,81,-2,36,-17,43,44,2,0
1198,57,0,86,1,56,0,29,29,0,0
1199,37,0,81,0,26,-4,44,55,10,0
1200,41,1,88,-3,38,0,48,50,2,0
1201,44,0,83,0,42,-14,40,42,2,0
1202,50,2,107,0,50,0,56,58,2,0
1203,45,0,88,-1,44,-1,44,44,0,0
1204,41,2,76,0,42,11,34,34,0,0
1205,38,-2,92,0,24,-11,54,69,14,0
1206,37,0,78,0,30,5,41,47,6,0
1207,56,-3,96,0,54,29,40,42,2,0
1208,41,0,83,3,42,27,42,42,0,0
1209,44,0,86,0,42,-25,42,44,2,0
1210,52,0,86,0,52,-3,33,34,0,0
1211,37,-7,77,0,20,0,40,56,16,0
1212,44,3,81,0,44,15,37,37,0,0
1213,40,5,106,0,38,0,65,67,2,0
1214,43,-2,89,0,42,0,46,48,2,0
1215,37,0,76,0,36,-14,39,40,2,0
1216,37,0,76,0,30,-30,39,45,6,0
1217,45,1,81,-5,44,0,36,37,0,0
1218,45,0,82,-38,44,0,37,38,0,0
